Time,ModBitCount,CipherBitCount
940,5,6
1260,8,6
860,5,6
820,7,5
880,7,6
1460,7,5
800,7,9
1060,8,6
940,7,9
920,7,5
1380,7,5
1000,7,9
960,8,6
1000,7,9
920,7,5
1260,6,7
720,8,6
720,7,5
680,5,6
7320,5,6
1380,7,5
680,8,6
680,5,6
860,7,6
820,7,9
65600,7,9
960,7,7
720,5,8
2040,7,7
1020,7,8
2040,9,5
960,7,8
860,7,6
900,7,6
760,7,9
900,7,6
760,7,9
880,7,9
800,10,5
1120,7,8
1020,7,9
920,6,6
800,7,9
900,7,8
940,7,9
800,7,8
920,7,6
680,5,8
960,11,8
1060,6,10
980,6,10
1160,9,6
1860,10,7
800,9,8
900,11,8
920,9,5
1220,10,5
1220,12,6
1100,9,5
1080,5,8
1760,11,8
900,11,8
900,5,8
1000,7,6
1580,9,8
900,5,6
920,10,8
940,9,6
920,11,8
1000,9,8
900,11,8
880,9,5
1040,10,6
1800,9,5
1500,13,9
1420,11,12
1380,11,9
1580,12,7
1400,9,10
1320,12,6
1480,11,9
1820,9,10
1080,9,10
980,10,9
1080,9,12
1700,11,9
1300,9,7
1080,12,7
1060,12,7
42620,13,10
1520,11,8
2020,9,6
2160,11,8
1940,11,6
1100,12,5
1060,10,11
1760,13,9
1280,11,9
1240,9,9
1600,13,10
1200,10,14
1080,11,11
1500,11,8
1340,11,13
1520,9,14
1580,12,12
1480,11,11
1200,9,14
1140,17,8
1120,15,7
1780,13,11
1160,8,13
1140,11,9
1120,17,12
1620,13,11
1380,8,8
1020,10,9
1200,12,9
2500,9,9
2660,12,6
1600,14,9
1840,13,9
1260,13,9
1260,9,9
1780,6,9
1300,12,12
1260,10,9
1380,12,10
1840,13,12
1200,8,9
1420,8,9
1780,12,13
1680,12,13
1660,15,12
1900,10,9
1780,13,10
1580,11,13
1440,12,8
2200,14,10
1340,13,8
1260,13,11
1920,13,9
1420,14,10
1180,12,9
22140,14,13
2080,11,9
2080,15,9
2160,13,9
1340,15,16
1480,13,9
1680,15,11
1280,15,14
1420,11,9
1360,15,10
1360,13,9
1400,13,11
1320,13,14
1980,12,9
2000,13,15
2380,12,9
3280,11,10
1360,11,9
1300,12,12
1940,9,11
1480,16,14
1280,11,9
2440,15,15
1300,12,13
1480,11,9
1440,13,11
2200,16,14
12060,12,14
2120,13,9
1040,15,9
1060,17,10
1720,17,11
1120,11,14
1200,15,9
1680,17,9
1020,8,14
960,14,11
980,11,9
1700,20,16
1600,15,9
1360,13,14
1380,13,9
1360,11,16
1340,13,9
1120,14,6
980,15,11
980,13,12
1180,13,9
1100,10,17
1040,15,9
960,14,15
1540,16,15
1020,18,18
980,10,14
920,8,13
1040,17,9
980,15,9
920,16,9
960,16,9
980,16,12
980,13,13
860,14,9
920,14,14
940,14,16
960,15,14
980,20,11
1020,14,9
960,15,9
960,14,9
940,13,12
1000,14,9
980,20,12
1080,17,9
1020,19,9
1060,12,9
1000,16,19
1060,16,9
1100,11,18
940,15,18
1120,14,12
1060,14,12
1060,11,9
1060,15,16
980,13,9
1000,17,9
1200,14,9
1020,17,12
1000,14,15
1060,22,15
1020,14,9
900,17,11
1060,16,16
1080,20,18
1020,17,15
1060,17,9
1060,13,9
1140,18,14
1100,18,17
1080,21,15
5360,19,15
