Time,ModBitCount,PlaintextBitCount,Eksponent
2360,5,6,7
11860,8,6,3
300,5,6,7
240,7,6,3
480,7,6,7
240,7,6,3
380,7,6,3
240,8,6,3
220,7,6,3
220,7,6,3
240,7,6,3
220,7,6,3
220,8,6,3
220,7,6,3
200,7,6,3
480,6,6,7
220,8,6,3
240,7,6,3
360,5,6,7
540,5,6,7
260,7,6,3
200,8,6,3
380,5,6,7
280,7,6,7
340,7,6,11
380,7,6,11
1080,7,6,5
280,5,6,7
320,7,6,5
280,7,6,5
340,9,6,5
260,7,6,5
240,7,6,5
240,7,6,5
320,7,6,11
220,7,6,5
360,7,6,11
260,7,6,5
200,10,6,3
300,7,6,5
420,7,6,5
420,6,6,7
480,7,6,11
940,7,6,5
360,7,6,5
280,7,6,5
220,7,6,5
260,5,6,7
880,11,6,11
3880,6,6,5
300,6,6,5
240,9,6,3
440,10,6,11
400,9,6,11
380,11,6,11
200,9,6,3
380,10,6,11
240,12,6,3
480,9,6,11
320,5,6,5
480,11,6,11
400,11,6,11
280,5,6,5
240,7,6,5
300,9,6,7
380,5,6,13
280,10,6,5
260,9,6,3
360,11,6,11
300,9,6,3
340,11,6,5
380,9,6,11
320,10,6,5
260,9,6,5
240,13,6,3
360,11,6,3
220,11,6,3
260,12,6,5
280,9,6,5
280,12,6,5
220,11,6,3
320,9,6,3
340,9,6,5
340,10,6,5
220,9,6,3
280,11,6,5
260,9,6,5
260,12,6,3
240,12,6,3
460,13,6,7
380,11,6,5
280,9,6,5
220,11,6,3
380,11,6,5
460,12,6,5
240,10,6,3
220,13,6,5
380,11,6,11
260,9,6,5
320,13,6,3
260,10,6,3
260,11,6,5
260,11,6,3
280,11,6,5
420,9,6,7
280,12,6,5
280,11,6,5
220,9,6,5
280,17,6,3
260,15,6,5
260,13,6,3
280,8,6,7
380,11,6,11
280,17,6,5
320,13,6,7
280,8,6,5
340,10,6,5
700,12,6,5
300,9,6,7
540,12,6,7
360,14,6,5
240,13,6,3
220,13,6,3
280,9,6,3
200,6,6,3
320,12,6,7
260,10,6,3
300,12,6,7
280,13,6,5
260,8,6,3
240,8,6,3
300,12,6,7
300,12,6,5
240,15,6,7
260,10,6,5
300,13,6,7
460,11,6,5
440,12,6,5
360,14,6,11
340,13,6,7
340,13,6,7
7440,13,6,3
300,14,6,5
260,12,6,3
400,14,6,11
200,11,6,3
200,15,6,3
280,13,6,7
360,15,6,11
280,13,6,5
280,15,6,7
300,15,6,7
200,11,6,3
800,15,6,5
240,13,6,3
300,13,6,7
280,13,6,5
220,12,6,3
980,13,6,13
240,12,6,3
280,11,6,5
220,11,6,3
340,12,6,5
300,9,6,13
280,16,6,7
260,11,6,3
320,15,6,5
300,12,6,5
220,11,6,3
280,13,6,5
360,16,6,11
880,12,6,7
160,13,6,3
180,15,6,3
240,17,6,13
200,17,6,7
300,11,6,5
200,15,6,11
120,17,6,3
160,8,6,5
200,14,6,5
180,11,6,3
160,20,6,5
120,15,6,3
360,13,6,11
320,13,6,3
320,11,6,5
260,13,6,3
220,14,6,11
200,15,6,7
200,13,6,7
160,13,6,3
200,10,6,7
200,15,6,3
180,14,6,5
180,16,6,5
180,18,6,5
160,10,6,5
260,8,6,11
120,17,6,3
100,15,6,3
120,16,6,3
100,16,6,3
120,16,6,5
200,13,6,11
140,14,6,7
160,14,6,7
140,14,6,5
140,15,6,5
13200,20,6,5
140,14,6,3
120,15,6,7
140,14,6,3
160,13,6,7
120,14,6,3
140,20,6,5
100,17,6,3
120,19,6,3
100,12,6,3
120,16,6,7
100,16,6,3
160,11,6,5
180,15,6,5
180,14,6,7
140,14,6,5
120,11,6,3
160,15,6,5
140,13,6,5
120,17,6,3
100,14,6,3
120,17,6,5
160,14,6,5
160,22,6,7
100,14,6,3
160,17,6,7
160,16,6,5
200,20,6,5
200,17,6,5
140,17,6,3
100,13,6,3
200,18,6,7
180,18,6,7
180,21,6,5
360,19,6,11
260,20,6,5
300,12,6,11
280,19,6,5
220,15,6,5
240,20,6,5
180,21,6,3
260,15,6,5
5640,15,6,5
200,16,6,3
260,20,6,7
260,11,6,7
220,15,6,7
240,15,6,5
220,23,6,5
200,15,6,5
200,19,6,5
260,14,6,5
260,16,6,7
300,18,6,11
200,13,6,3
280,21,6,7
340,17,6,11
420,23,6,11
240,18,6,7
280,20,6,5
240,16,6,7
200,20,6,3
300,15,6,7
140,21,6,3
240,16,6,5
260,22,6,7
200,18,6,3
200,15,6,5
220,12,6,5
200,18,6,5
340,18,6,13
220,18,6,5
240,15,6,5
500,19,6,17
260,19,6,7
180,20,6,3
200,18,6,3
180,18,6,3
500,22,6,3
280,22,6,7
180,16,6,3
240,21,6,5
200,17,6,5
480,23,6,13
220,19,6,5
180,18,6,3
200,16,6,5
240,22,6,5
200,16,6,3
160,19,6,3
240,17,6,7
160,17,6,3
360,20,6,11
220,17,6,5
220,23,6,5
300,19,6,7
220,27,6,5
200,22,6,5
200,18,6,3
200,22,6,5
240,14,6,7
260,21,6,5
480,26,6,7
220,18,6,5
360,25,6,3
500,18,6,7
580,17,6,11
460,22,6,7
440,18,6,7
320,22,6,3
260,18,6,3
280,24,6,3
300,18,6,3
400,22,6,5
280,22,6,3
460,18,6,7
400,18,6,5
460,14,6,7
300,21,6,3
240,18,6,3
420,20,6,5
760,21,6,19
460,21,6,7
600,16,6,11
500,18,6,7
360,16,6,3
320,19,6,3
400,22,6,5
480,24,6,7
460,23,6,7
600,21,6,11
580,21,6,11
560,23,6,5
480,23,6,5
400,22,6,5
300,15,6,3
300,19,6,3
480,20,6,7
420,23,6,7
400,21,6,5
460,19,6,7
380,21,6,5
400,18,6,5
400,14,6,5
500,18,6,7
320,19,6,3
380,22,6,5
380,26,6,5
480,23,6,7
620,23,6,11
300,24,6,3
400,19,6,5
460,22,6,7
600,26,6,13
380,21,6,5
580,17,6,11
460,21,6,7
380,24,6,5
420,21,6,7
340,22,6,3
380,18,6,5
340,22,6,5
640,26,6,11
420,27,6,5
440,25,6,5
580,19,6,11
580,22,6,11
480,25,6,7
340,20,6,3
420,19,6,5
300,21,6,3
360,25,6,5
380,22,6,5
620,22,6,11
640,20,6,13
440,28,6,7
400,26,6,5
300,23,6,3
280,22,6,3
300,20,6,3
400,23,6,5
560,23,6,7
420,22,6,5
380,21,6,5
320,26,6,3
480,26,6,7
420,24,6,5
340,15,6,5
340,17,6,5
400,25,6,5
380,20,6,5
300,24,6,3
380,21,6,5
360,22,6,5
480,26,6,7
500,20,6,7
460,24,6,5
440,26,6,7
540,20,6,7
360,28,6,3
300,25,6,3
460,24,6,5
440,29,6,5
360,19,6,5
320,26,6,3
300,25,6,3
300,26,6,3
460,20,6,7
620,23,6,11
320,20,6,3
380,23,6,5
380,27,6,5
460,22,6,7
400,26,6,5
460,26,6,7
420,25,6,5
620,26,6,11
13560,22,6,3
260,31,6,3
260,24,6,3
500,24,6,7
460,22,6,7
300,20,6,3
660,26,6,11
360,23,6,5
620,30,6,5
520,29,6,7
380,24,6,5
480,26,6,7
660,30,6,11
480,25,6,7
420,25,6,7
480,20,6,7
460,30,6,7
460,20,6,7
420,28,6,5
360,27,6,5
320,21,6,3
480,22,6,5
400,28,6,5
400,22,6,5
440,27,6,5
740,22,6,7
580,25,6,11
320,24,6,5
380,24,6,5
400,27,6,3
580,18,6,11
320,29,6,3
760,28,6,11
420,23,6,7
400,26,6,5
380,25,6,5
380,27,6,5
400,24,6,5
300,32,6,3
280,25,6,3
460,25,6,7
420,29,6,7
380,22,6,5
600,30,6,11
520,25,6,7
340,25,6,3
400,26,6,5
380,26,6,5
300,27,6,3
400,25,6,5
1060,25,6,11
480,24,6,3
420,25,6,5
300,25,6,3
280,29,6,3
400,23,6,5
400,33,6,7
340,30,6,3
420,31,6,7
360,29,6,5
400,19,6,7
440,25,6,7
380,29,6,5
500,28,6,7
360,27,6,3
320,28,6,3
420,33,6,5
380,26,6,5
